装配	3506001-T38V0_ASM00	包含:	
	1	子装配	3513910-T38V0
	1	子装配	3513910-T38V1
	1	子装配	3506004-T38V0_ASM00
	1	子装配	3500M-T38V0_ASM00
	1	子装配	3506A-T38V0
	1	子装配	3506P-T38V0
	1	子装配	3506Q-KINGLAND
	1	子装配	3754110-T38H0
	2	零件	RQ83212N3A
	1	零件	RQ83112N3
	1	子装配	3511910-T38V0
	1	子装配	3500K-T38V0
	1	子装配	3513950-T38V1
			
			
			
子装配	3513910-T38V0	包含:	
	2	子装配	3513103-K91M0
	1	子装配	3513010-T01H0
	1	子装配	3513D-040
	2	零件	RQ83222N7A
	1	子装配	35Z41-06047
	1	子装配	35N-06038
			
			
			
子装配	3513103-K91M0	包含:	
	1	零件	3513103-K91M0
	1	子装配	3513125-K91M0-R
	2	零件	Q340B10
			
			
			
子装配	3513125-K91M0-R	包含:	
	1	零件	3513125-K91M0-R
	1	零件	11C-01112
	1	零件	3513125-T68L0-A
			
			
			
子装配	3513010-T01H0	包含:	
	1	子装配	3513012-T01H0
	1	子装配	3513013-T38H0
	1	子装配	3513011-T38H0
			
			
			
子装配	3513012-T01H0	包含:	
	1	零件	3513012-T01H0
	1	零件	3513N-028
			
			
			
子装配	3513013-T38H0	包含:	
	1	零件	3513N-021
	3	零件	3513N-023
			
			
			
子装配	3513011-T38H0	包含:	
	1	零件	3513011-T38H0
	1	零件	3513N-024
			
			
			
子装配	3513D-040	包含:	
	1	零件	3513D-040_
			
			
			
子装配	35Z41-06047	包含:	
	1	零件	35Z41-06047
	1	零件	35N-06036
			
			
			
子装配	35N-06038	包含:	
	1	零件	35N-06038
	1	零件	35N-06037
			
			
			
子装配	3513910-T38V1	包含:	
	2	子装配	3513104-T38V0
	1	子装配	3513010-T68L0
	1	子装配	3513D-040
	2	子装配	3513126-T09Z0
	3	零件	RQ83122N7A
	1	子装配	3524Z06A-010
	1	子装配	3506031-T38A0_1
	1	子装配	3525020-90000
	1	子装配	35N-06038
	1	子装配	RQ83222N5A
			
			
			
子装配	3513104-T38V0	包含:	
	1	零件	3513104-T38V0
	2	零件	Q32012
			
			
			
子装配	3513010-T68L0	包含:	
	1	子装配	3513020-T68L1
	1	子装配	3513020-T68L0
	1	子装配	3513025-T68L0
			
			
			
子装配	3513020-T68L1	包含:	
	1	零件	3513021-T68L1
	2	零件	3513023-T68L1
			
			
			
子装配	3513020-T68L0	包含:	
	1	零件	3513021-T68L0
	3	零件	3513023-T68L0
			
			
			
子装配	3513025-T68L0	包含:	
	1	零件	3513026-T68L0
	1	零件	3513028-T68L0
			
			
			
子装配	3513126-T09Z0	包含:	
	1	零件	3513126-T09Z0
	1	零件	3513115-T30R0
	1	零件	3513116-T30R0
	1	零件	Q2180860
			
			
			
