层次	  子女号   	数量	项目名称	标识码	状态	   子女号  	数量	  项目名称  	标识码	状态
0	35G0F-T38V0	1	制动管路系统组-底盘	37	P	35G0F-T38V0	1	制动管路系统组-底盘	37	P
1	  1606F-T38V0	1	离合器系统管路组-挂整车	40	P	  1606F-T38V0	1	离合器系统管路组-挂整车	40	P
2	    1606120-90365	1	软管总成-离合器	58	D	    1606120-90365	1	软管总成-离合器	58	D
1	  2507B-T38V0	1	轴间差速锁操纵管路组	40	P	  2507B-T38V0	1	轴间差速锁操纵管路组	40	P
2	    RQ83212N3A	2	弯通快插管接头	61	D	    RQ83212N3A	2	弯通快插管接头	61	D
2	    RQ83412N3N5A	1	T型三通快插管接头	61	D	    RQ83412N3N5A	1	T型三通快插管接头	61	D
1	  3500B-T38V0	1	制动系统装置图组-底盘	40	P	  3500B-T38V0	1	制动系统装置图组-底盘	40	P
2	    3506001-T38V0	0	气制动管路装置图-底盘	81	P	    3506001-T38V0	0	气制动管路装置图-底盘	81	P
1	  3500J-T38V0	1	制动系统前桥模块组	40	P	  3500J-T38V0	1	制动系统前桥模块组	40	P
2	    3506004-T38V0	0	制动系统前桥模块装置图	81	P	    3506004-T38V0	0	制动系统前桥模块装置图	81	P
2	    3506062-T31K0	2	三通管接头	60	D	    3506062-T31K0	2	三通管接头	60	D
2	    3524Z06A-010	2	取气阀总成	52	D	    3524Z06A-010	2	取气阀总成	52	D
3	      3524Z06A-011	1	取气阀罩	60	D	      3524Z06A-011	1	取气阀罩	60	D
3	      3524Z06A-020	1	取气阀本体总成	52	D	      3524Z06A-020	1	取气阀本体总成	52	D
4	        3524Z06A-021	1	取气阀本体	60	D	        3524Z06A-021	1	取气阀本体	60	D
4	        3524Z06A-022	1	垫片	60	D	        3524Z06A-022	1	垫片	60	D
4	        3524Z06A-023	1	弹簧	60	D	        3524Z06A-023	1	弹簧	60	D
4	        3524Z06A-030	1	阀杆总成	52	D	        3524Z06A-030	1	阀杆总成	52	D
5	          3524Z06A-031	1	取气阀阀杆	60	D	          3524Z06A-031	1	取气阀阀杆	60	D
5	          3524Z06A-032	1	O型圈	60	D	          3524Z06A-032	1	O型圈	60	D
4	        Q43009	1	卡圈	61	D	        Q43009	1	卡圈	61	D
2	    3533910-T38A0	1	快放阀合件	55	D	    3533910-T38A0	1	快放阀合件	55	D
3	      3533010-90000	1	快放阀总成	58	D	      3533010-90000	1	快放阀总成	58	D
3	      RQ83102N7A	2	直通快插管接头	61	D	      RQ83102N7A	2	直通快插管接头	61	D
3	      RQ83218N7A	1	弯通快插管接头	61	D	      RQ83218N7A	1	弯通快插管接头	61	D
2	    3550910-T38V0	1	前左ABS电磁阀合件	55	P	    3550910-T38V0	1	前左ABS电磁阀合件	55	P
3	      3550101-T38V0	1	支架-ABS电磁阀	60	P	      3550101-T38V0	1	支架-ABS电磁阀	60	P
3	      3550ZB1E-001	1	ABS电磁阀总成	58	D	      3550ZB1E-001	1	ABS电磁阀总成	58	D
3	      35DR10-06020	1	端式管接头	60	D	      35DR10-06020	1	端式管接头	60	D
3	      35N-06036	2	垫密圈	60	D	      35N-06036	2	垫密圈	60	D
3	      Q1840875	2	六角法兰面螺栓	61	D	      Q1840875	2	六角法兰面螺栓	61	D
3	      Q32008	2	六角法兰面螺母	61	D	      Q32008	2	六角法兰面螺母	61	D
3	      RQ83122N5A	1	直通快插管接头	61	D	      RQ83122N5A	1	直通快插管接头	61	D
2	    3550920-T38V0	1	前右ABS电磁阀合件	55	P	    3550920-T38V0	1	前右ABS电磁阀合件	55	P
3	      3550101-T38V0	1	支架-ABS电磁阀	60	P	      3550101-T38V0	1	支架-ABS电磁阀	60	P
3	      3550ZB1E-001	1	ABS电磁阀总成	58	D	      3550ZB1E-001	1	ABS电磁阀总成	58	D
3	      35DR10-06020	1	端式管接头	60	D	      35DR10-06020	1	端式管接头	60	D
3	      35N-06036	2	垫密圈	60	D	      35N-06036	2	垫密圈	60	D
3	      Q1840875	2	六角法兰面螺栓	61	D	      Q1840875	2	六角法兰面螺栓	61	D
3	      Q32008	2	六角法兰面螺母	61	D	      Q32008	2	六角法兰面螺母	61	D
3	      RQ83122N5A	1	直通快插管接头	61	D	      RQ83122N5A	1	直通快插管接头	61	D
2	    35N-06027	2	压紧螺母	60	D	    35N-06027	2	压紧螺母	60	D
2	    35N-06032	2	O 型密封圈	60	D	    35N-06032	2	O 型密封圈	60	D
2	    35N-06037	2	垫密圈	60	D	    35N-06037	2	垫密圈	60	D
2	    Q-22N-550W	2	软管总成	59	S	    Q-22N-550W	2	软管总成	59	S
2	    Q1840825	2	六角法兰面螺栓	61	D	    Q1840825	2	六角法兰面螺栓	61	D
2	    Q1841030	4	六角法兰面螺栓	61	S	    Q1841030	4	六角法兰面螺栓	61	S
2	    Q32008	2	六角法兰面螺母	61	D	    Q32008	2	六角法兰面螺母	61	D
2	    Q32010	4	六角法兰面螺母	61	D	    Q32010	4	六角法兰面螺母	61	D
2	    Q6854008	2	管线橡胶护套	61	D	    Q6854008	2	管线橡胶护套	61	D
2	    RQ85110260	2	尼龙管	61	D	    RQ85110260	2	尼龙管	61	D
1	  3500K-T38V0	1	制动系统后桥模块组	40	P	  3500K-T38V0	1	制动系统后桥模块组	40	P
2	    2401053-T0802	2	ABS线束支架	60	D	    2401053-T0802	2	ABS线束支架	60	D
2	    3506005-T38V0	0	制动系统后桥模块装置图	81	P	    3506005-T38V0	0	制动系统后桥模块装置图	81	P
2	    3506042-ZB700	2	车架护套总成	58	D	    3506042-ZB700	2	车架护套总成	58	D
2	    3506511-T68L1	1	成型尼龙管	60	D	    3506511-T68L1	1	成型尼龙管	60	D
2	    3506800-KC500	1	支架	60	D	    3506800-KC500	1	支架	60	D
2	    3506821-T68L0	2	支架	60	D	    3506821-T68L0	2	支架	60	D
2	    3506821-T68L1	1	支架	60	D	    3506821-T68L1	1	支架	60	D
2	    3506832-T68L1	2	支架-软管	60	D	    3506832-T68L1	2	支架-软管	60	D
2	    3527910-T38V1	1	继动阀合件	55	P	    3527910-T38V1	1	继动阀合件	55	P
3	      3527010-92100	1	继动阀总成	58	P	      3527010-92100	1	继动阀总成	58	P
3	      Q32008	2	六角法兰面螺母	61	D	      Q32008	2	六角法兰面螺母	61	D
3	      RQ83116N4A	1	直通快插管接头	61	D	      RQ83116N4A	1	直通快插管接头	61	D
3	      RQ83222N4A	1	弯通快插管接头	61	D	      RQ83222N4A	1	弯通快插管接头	61	D
3	      RQ83222N7A	3	弯通快插管接头	61	D	      RQ83222N7A	3	弯通快插管接头	61	D
2	    3527960-T38V0	1	差动阀合件	55	P	    3527960-T38V0	1	差动阀合件	55	P
3	      3527020-90001	1	差动阀总成	58	D	      3527020-90001	1	差动阀总成	58	D
3	      3527020-T38V0	1	差动阀总成	58	P	      3527020-T38V0	1	差动阀总成	58	P
3	      35N-06036	1	垫密圈	60	D	      35N-06036	1	垫密圈	60	D
3	      35Z41-06047	1	螺塞	60	D	      35Z41-06047	1	螺塞	60	D
3	      Q32008	2	六角法兰面螺母	61	D	      Q32008	2	六角法兰面螺母	61	D
3	      RQ83216N4A	2	弯通快插管接头	61	D	      RQ83216N4A	2	弯通快插管接头	61	D
3	      RQ83222N7A	1	弯通快插管接头	61	D	      RQ83222N7A	1	弯通快插管接头	61	D
3	      RQ83622N7N7A	2	F型三通快插管接头	61	D	      RQ83622N7N7A	2	F型三通快插管接头	61	D
2	    3550960-T38V0	1	后桥ABS电磁阀合件	55	P	    3550960-T38V0	1	后桥ABS电磁阀合件	55	P
3	      29ZB6-06039	2	六角头螺栓	60	D	      29ZB6-06039	2	六角头螺栓	60	D
3	      3550101-T38V1	1	支架-ABS电磁阀	60	P	      3550101-T38V1	1	支架-ABS电磁阀	60	P
3	      3550ZB1E-001	2	ABS电磁阀总成	58	D	      3550ZB1E-001	2	ABS电磁阀总成	58	D
3	      Q32008	2	六角法兰面螺母	61	D	      Q32008	2	六角法兰面螺母	61	D
3	      RQ83222N7A	2	弯通快插管接头	61	D	      RQ83222N7A	2	弯通快插管接头	61	D
3	      RQ83522N7N7A	2	偏三通快插管接头	61	D	      RQ83522N7N7A	2	偏三通快插管接头	61	D
2	    35Z63E-06082	1	支架	60	D	    35Z63E-06082	1	支架	60	D
2	    35ZB8A-06105	30	扎带	60	D	    35ZB8A-06105	30	扎带	60	D
2	    Q1840814	4	六角法兰面螺栓	61	A	    Q1840814	4	六角法兰面螺栓	61	A
2	    Q1840825	4	六角法兰面螺栓	61	D	    Q1840825	4	六角法兰面螺栓	61	D
